condition,env,reference,policy_path,seed,episodes,alpha,noise_type,jitter_sigma,dropout_p,dropout_mode,use_masked_reward,bias_magnitude,bias_axis,bias_target,reward_type,huber_delta,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,mean_clean_reward,mean_noisy_reward,mean_clean_keypoint_mse,mean_noisy_keypoint_mse,mean_masked_noisy_keypoint_mse,mean_visibility_frac,result_dir,env_group
compound_zero_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_zero_moderate_seed1/policy.zip,1,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,795,0.2357799924998109,1.6656936097934604e-11,0.251820458692875,5.782057967090544e-13,0.7024706813160357,0.1308109221798714,0.0150345978962163,0.1027616964212366,0.0185443413519903,0.7027852786037158,results/compound_zero_moderate_seed1,walker2d
compound_zero_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_zero_moderate_seed0/policy.zip,0,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,795,0.2759076449483834,2.3477005022243264e-15,0.3446491045599176,1.3683038016537184e-23,0.5857827779817348,0.0977757867294428,0.0257082434715715,0.1117363922412173,0.0313278347535685,0.7027852792222545,results/compound_zero_moderate_seed0,walker2d
compound_masked_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_masked_moderate_seed2/policy.zip,2,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,795,0.878367505715636,1.9252841383514624e-256,0.8903555608946304,3.211062475211113e-273,0.6160034880946956,0.8159038273875058,0.0220136452409265,0.0274953079095795,0.027863280799089,0.6986523053181246,results/compound_masked_moderate_seed2,walker2d
compound_zero_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_zero_moderate_seed2/policy.zip,2,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,795,0.3056876716434796,1.1709373208731097e-18,0.3668507214557651,9.881395995580377e-27,0.6040544095588556,0.1129730431628313,0.0235074621134432,0.1074786563819778,0.0294222039497111,0.6986523053181246,results/compound_zero_moderate_seed2,walker2d
compound_masked_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_masked_moderate_seed1/policy.zip,1,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,795,0.8594197063302392,3.005811802509587e-233,0.9061120439897314,1.6350668489613724e-298,0.5159541858256058,0.7714432918920168,0.0306262435040537,0.0367218708974578,0.0360987291968597,0.7027852786037158,results/compound_masked_moderate_seed1,walker2d
compound_masked_moderate,Walker2d-v5,data/references/walker2d_v5_reference_expert_seed0_10k.npz,results/compound_masked_moderate_seed0/policy.zip,0,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,795,0.8654419969162246,3.1069873578584643e-240,0.8764655223267136,6.0649234633188415e-254,0.5314167027166696,0.7896898779066404,0.0270393665225652,0.0326235125463678,0.0325734631341088,0.7027852792222545,results/compound_masked_moderate_seed0,walker2d
compound_zero_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_zero_moderate_seed0/policy.zip,0,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,5000,0.1669166214205693,1.445611770637136e-32,0.161033655229211,2.1241321631413063e-30,0.7820697220723517,0.3455171944668448,0.0070620282241135,0.0917443062587233,0.0091334060699846,0.70195,results/hopper_compound_zero_moderate_seed0,hopper
compound_zero_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_zero_moderate_seed1/policy.zip,1,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,5000,0.1594790416456441,7.697737516367449e-30,0.1477873781461358,8.169280155064359e-26,0.7999926907816642,0.3505163067522762,0.0063517021982485,0.091921590716578,0.0086022581242592,0.6962,results/hopper_compound_zero_moderate_seed1,hopper
compound_masked_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_masked_moderate_seed0/policy.zip,0,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,5000,0.6183020321001764,0.0,0.4393674543856952,4.2407301842044616e-235,0.7818551855928102,0.9130794441730676,0.0069367446776001,0.009646410499257,0.0096816422247386,0.70195,results/hopper_compound_masked_moderate_seed0,hopper
compound_masked_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_masked_moderate_seed1/policy.zip,1,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,2846,0.7366895809798331,0.0,0.5366469321460083,4.788036621378804e-212,0.772468766122565,0.9045871567529884,0.007883811743937,0.0111605259908295,0.0110372973843378,0.6929901616303584,results/hopper_compound_masked_moderate_seed1,hopper
compound_zero_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_zero_moderate_seed2/policy.zip,2,5,5.0,compound,0.05,0.3,zero,False,0.05,0,feet,squared,0.05,5000,0.1811128930083608,3.936771160713288e-38,0.1639979574195841,1.7592450807537554e-31,0.7649753903627736,0.343648454304453,0.0077015948299251,0.0917545471514749,0.0091097492635791,0.6982,results/hopper_compound_zero_moderate_seed2,hopper
compound_masked_moderate,Hopper-v5,data/references/hopper_v5_reference_expert_seed1_500k.npz,results/hopper_compound_masked_moderate_seed2/policy.zip,2,5,5.0,compound,0.05,0.3,mask,True,0.05,0,feet,squared,0.05,3219,0.6702655986435382,0.0,0.5096992759760242,1.9713043721125781e-212,0.7715520950154903,0.9134352269958284,0.007569086308873,0.0097933579414562,0.0097042692764408,0.7011494252873564,results/hopper_compound_masked_moderate_seed2,hopper
